benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
458.sjeng,256kB,256kB,4MB,2,8,8,64,1609,8392126,8364993,1.9372
458.sjeng,256kB,256kB,4MB,2,8,8,128,903,4247782,4219406,1.4729
458.sjeng,256kB,256kB,4MB,4,1,1,32,3930,16679382,16662194,2.8664
458.sjeng,256kB,256kB,4MB,4,1,1,64,2548,8386033,8368018,1.9375
458.sjeng,256kB,256kB,4MB,4,1,1,128,1750,4240650,4222155,1.4731
458.sjeng,256kB,256kB,4MB,4,1,2,32,3930,16679382,16660935,2.8663
458.sjeng,256kB,256kB,4MB,4,1,2,64,2548,8386033,8366558,1.9373
458.sjeng,256kB,256kB,4MB,4,1,2,128,1750,4240650,4220762,1.473
458.sjeng,256kB,256kB,4MB,4,1,4,32,3930,16679382,16660360,2.8662
458.sjeng,256kB,256kB,4MB,4,1,4,64,2548,8386033,8365564,1.9372
458.sjeng,256kB,256kB,4MB,4,1,4,128,1750,4240650,4219872,1.4729
458.sjeng,256kB,256kB,4MB,4,1,8,32,3930,16679382,16660262,2.8662
458.sjeng,256kB,256kB,4MB,4,1,8,64,2548,8386033,8365002,1.9372
458.sjeng,256kB,256kB,4MB,4,1,8,128,1750,4240650,4219403,1.4728
458.sjeng,256kB,256kB,4MB,4,2,1,32,2930,16679382,16662162,2.8664
458.sjeng,256kB,256kB,4MB,4,2,1,64,1609,8386033,8367986,1.9375
458.sjeng,256kB,256kB,4MB,4,2,1,128,904,4240650,4222130,1.4731
458.sjeng,256kB,256kB,4MB,4,2,2,32,2930,16679382,16660910,2.8663
458.sjeng,256kB,256kB,4MB,4,2,2,64,1609,8386033,8366532,1.9373
458.sjeng,256kB,256kB,4MB,4,2,2,128,904,4240650,4220743,1.473
458.sjeng,256kB,256kB,4MB,4,2,4,32,2930,16679382,16660342,2.8662
458.sjeng,256kB,256kB,4MB,4,2,4,64,1609,8386033,8365546,1.9372
458.sjeng,256kB,256kB,4MB,4,2,4,128,904,4240650,4219854,1.4729
458.sjeng,256kB,256kB,4MB,4,2,8,32,2930,16679382,16660242,2.8662
458.sjeng,256kB,256kB,4MB,4,2,8,64,1609,8386033,8364986,1.9372
458.sjeng,256kB,256kB,4MB,4,2,8,128,904,4240650,4219389,1.4728
458.sjeng,256kB,256kB,4MB,4,4,1,32,2930,16679382,16662159,2.8664
458.sjeng,256kB,256kB,4MB,4,4,1,64,1609,8386033,8367982,1.9374
458.sjeng,256kB,256kB,4MB,4,4,1,128,903,4240650,4222127,1.4731
458.sjeng,256kB,256kB,4MB,4,4,2,32,2930,16679382,16660910,2.8663
458.sjeng,256kB,256kB,4MB,4,4,2,64,1609,8386033,8366531,1.9373
458.sjeng,256kB,256kB,4MB,4,4,2,128,903,4240650,4220741,1.473
458.sjeng,256kB,256kB,4MB,4,4,4,32,2930,16679382,16660342,2.8662
458.sjeng,256kB,256kB,4MB,4,4,4,64,1609,8386033,8365545,1.9372
458.sjeng,256kB,256kB,4MB,4,4,4,128,903,4240650,4219853,1.4729
458.sjeng,256kB,256kB,4MB,4,4,8,32,2930,16679382,16660241,2.8662
458.sjeng,256kB,256kB,4MB,4,4,8,64,1609,8386033,8364985,1.9372
458.sjeng,256kB,256kB,4MB,4,4,8,128,903,4240650,4219387,1.4728
458.sjeng,256kB,256kB,4MB,4,8,1,32,2930,16679382,16662159,2.8664
458.sjeng,256kB,256kB,4MB,4,8,1,64,1609,8386033,8367981,1.9374
458.sjeng,256kB,256kB,4MB,4,8,1,128,903,4240650,4222126,1.4731
458.sjeng,256kB,256kB,4MB,4,8,2,32,2930,16679382,16660910,2.8663
458.sjeng,256kB,256kB,4MB,4,8,2,64,1609,8386033,8366531,1.9373
458.sjeng,256kB,256kB,4MB,4,8,2,128,903,4240650,4220741,1.473
458.sjeng,256kB,256kB,4MB,4,8,4,32,2930,16679382,16660342,2.8662
458.sjeng,256kB,256kB,4MB,4,8,4,64,1609,8386033,8365545,1.9372
458.sjeng,256kB,256kB,4MB,4,8,4,128,903,4240650,4219853,1.4729
458.sjeng,256kB,256kB,4MB,4,8,8,32,2930,16679382,16660241,2.8662
458.sjeng,256kB,256kB,4MB,4,8,8,64,1609,8386033,8364985,1.9372
458.sjeng,256kB,256kB,4MB,4,8,8,128,903,4240650,4219387,1.4728
458.sjeng,256kB,256kB,4MB,8,1,1,32,3930,16678126,16662132,2.8664
458.sjeng,256kB,256kB,4MB,8,1,1,64,2548,8384805,8367957,1.9374
458.sjeng,256kB,256kB,4MB,8,1,1,128,1750,4239281,4222088,1.4731
458.sjeng,256kB,256kB,4MB,8,1,2,32,3930,16678126,16660927,2.8663
458.sjeng,256kB,256kB,4MB,8,1,2,64,2548,8384805,8366553,1.9373
458.sjeng,256kB,256kB,4MB,8,1,2,128,1750,4239281,4220741,1.473
458.sjeng,256kB,256kB,4MB,8,1,4,32,3930,16678126,16660357,2.8662
458.sjeng,256kB,256kB,4MB,8,1,4,64,2548,8384805,8365566,1.9372
458.sjeng,256kB,256kB,4MB,8,1,4,128,1750,4239281,4219863,1.4729
