benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
401.bzip2,256kB,128kB,4MB,4,1,2,128,569,2426398,1216885,1.1508
401.bzip2,256kB,128kB,4MB,4,1,4,32,1781,5686259,4087330,1.477
401.bzip2,256kB,128kB,4MB,4,1,4,64,988,3498235,2173787,1.2594
401.bzip2,256kB,128kB,4MB,4,1,4,128,569,2425718,1217015,1.1508
401.bzip2,256kB,128kB,4MB,4,1,8,32,1781,5686259,4088193,1.4771
401.bzip2,256kB,128kB,4MB,4,1,8,64,988,3498235,2174830,1.2595
401.bzip2,256kB,128kB,4MB,4,1,8,128,569,2426127,1217547,1.1509
401.bzip2,256kB,128kB,4MB,4,2,1,32,1735,5686259,4086471,1.4769
401.bzip2,256kB,128kB,4MB,4,2,1,64,957,3498235,2173102,1.2593
401.bzip2,256kB,128kB,4MB,4,2,1,128,539,2426225,1216469,1.1508
401.bzip2,256kB,128kB,4MB,4,2,2,32,1735,5686259,4086874,1.4769
401.bzip2,256kB,128kB,4MB,4,2,2,64,957,3498235,2173478,1.2593
401.bzip2,256kB,128kB,4MB,4,2,2,128,539,2426479,1216858,1.1508
401.bzip2,256kB,128kB,4MB,4,2,4,32,1735,5686259,4087274,1.477
401.bzip2,256kB,128kB,4MB,4,2,4,64,957,3498235,2173748,1.2594
401.bzip2,256kB,128kB,4MB,4,2,4,128,539,2425798,1216988,1.1508
401.bzip2,256kB,128kB,4MB,4,2,8,32,1735,5686259,4088179,1.4771
401.bzip2,256kB,128kB,4MB,4,2,8,64,957,3498235,2174815,1.2595
401.bzip2,256kB,128kB,4MB,4,2,8,128,539,2426142,1217533,1.1509
401.bzip2,256kB,128kB,4MB,4,4,1,32,1735,5686259,4086447,1.4769
401.bzip2,256kB,128kB,4MB,4,4,1,64,957,3498235,2173084,1.2593
401.bzip2,256kB,128kB,4MB,4,4,1,128,539,2426225,1216459,1.1508
401.bzip2,256kB,128kB,4MB,4,4,2,32,1735,5686259,4086858,1.4769
401.bzip2,256kB,128kB,4MB,4,4,2,64,957,3498235,2173470,1.2593
401.bzip2,256kB,128kB,4MB,4,4,2,128,539,2426479,1216854,1.1508
401.bzip2,256kB,128kB,4MB,4,4,4,32,1735,5686259,4087253,1.477
401.bzip2,256kB,128kB,4MB,4,4,4,64,957,3498235,2173738,1.2594
401.bzip2,256kB,128kB,4MB,4,4,4,128,539,2425798,1216982,1.1508
401.bzip2,256kB,128kB,4MB,4,4,8,32,1735,5686259,4088179,1.4771
401.bzip2,256kB,128kB,4MB,4,4,8,64,957,3498235,2174815,1.2595
401.bzip2,256kB,128kB,4MB,4,4,8,128,539,2426142,1217533,1.1509
401.bzip2,256kB,128kB,4MB,4,8,1,32,1735,5686259,4086440,1.4769
401.bzip2,256kB,128kB,4MB,4,8,1,64,957,3498235,2173078,1.2593
401.bzip2,256kB,128kB,4MB,4,8,1,128,539,2426225,1216454,1.1508
401.bzip2,256kB,128kB,4MB,4,8,2,32,1735,5686259,4086856,1.4769
401.bzip2,256kB,128kB,4MB,4,8,2,64,957,3498235,2173468,1.2593
401.bzip2,256kB,128kB,4MB,4,8,2,128,539,2426479,1216852,1.1508
401.bzip2,256kB,128kB,4MB,4,8,4,32,1735,5686259,4087251,1.477
401.bzip2,256kB,128kB,4MB,4,8,4,64,957,3498235,2173736,1.2594
401.bzip2,256kB,128kB,4MB,4,8,4,128,539,2425798,1216980,1.1508
401.bzip2,256kB,128kB,4MB,4,8,8,32,1735,5686259,4088179,1.4771
401.bzip2,256kB,128kB,4MB,4,8,8,64,957,3498235,2174815,1.2595
401.bzip2,256kB,128kB,4MB,4,8,8,128,539,2426142,1217533,1.1509
401.bzip2,256kB,128kB,4MB,8,1,1,32,1781,5686687,4086485,1.4769
401.bzip2,256kB,128kB,4MB,8,1,1,64,988,3494724,2173114,1.2593
401.bzip2,256kB,128kB,4MB,8,1,1,128,569,2417366,1216483,1.1507
401.bzip2,256kB,128kB,4MB,8,1,2,32,1781,5686687,4086931,1.477
401.bzip2,256kB,128kB,4MB,8,1,2,64,988,3494724,2173516,1.2593
401.bzip2,256kB,128kB,4MB,8,1,2,128,569,2417544,1216885,1.1507
401.bzip2,256kB,128kB,4MB,8,1,4,32,1781,5686687,4087332,1.477
401.bzip2,256kB,128kB,4MB,8,1,4,64,988,3494724,2173787,1.2593
401.bzip2,256kB,128kB,4MB,8,1,4,128,569,2416864,1217015,1.1507
401.bzip2,256kB,128kB,4MB,8,1,8,32,1781,5686687,4088194,1.4771
401.bzip2,256kB,128kB,4MB,8,1,8,64,988,3494724,2174830,1.2594
401.bzip2,256kB,128kB,4MB,8,1,8,128,569,2417273,1217547,1.1508
401.bzip2,256kB,128kB,4MB,8,2,1,32,1735,5686687,4086417,1.4769
401.bzip2,256kB,128kB,4MB,8,2,1,64,957,3494724,2173073,1.2593
401.bzip2,256kB,128kB,4MB,8,2,1,128,539,2417383,1216453,1.1507
401.bzip2,256kB,128kB,4MB,8,2,2,32,1735,5686687,4086875,1.4769
401.bzip2,256kB,128kB,4MB,8,2,2,64,957,3494724,2173478,1.2593
401.bzip2,256kB,128kB,4MB,8,2,2,128,539,2417625,1216858,1.1507
401.bzip2,256kB,128kB,4MB,8,2,4,32,1735,5686687,4087276,1.477
401.bzip2,256kB,128kB,4MB,8,2,4,64,957,3494724,2173748,1.2593
401.bzip2,256kB,128kB,4MB,8,2,4,128,539,2416944,1216988,1.1507
401.bzip2,256kB,128kB,4MB,8,2,8,32,1735,5686687,4088180,1.4771
401.bzip2,256kB,128kB,4MB,8,2,8,64,957,3494724,2174815,1.2594
401.bzip2,256kB,128kB,4MB,8,2,8,128,539,2417288,1217533,1.1508
401.bzip2,256kB,128kB,4MB,8,4,1,32,1735,5686687,4086393,1.4769
401.bzip2,256kB,128kB,4MB,8,4,1,64,957,3494724,2173055,1.2593
401.bzip2,256kB,128kB,4MB,8,4,1,128,539,2417383,1216443,1.1507
401.bzip2,256kB,128kB,4MB,8,4,2,32,1735,5686687,4086859,1.4769
401.bzip2,256kB,128kB,4MB,8,4,2,64,957,3494724,2173470,1.2593
401.bzip2,256kB,128kB,4MB,8,4,2,128,539,2417625,1216854,1.1507
401.bzip2,256kB,128kB,4MB,8,4,4,32,1735,5686687,4087255,1.477
401.bzip2,256kB,128kB,4MB,8,4,4,64,957,3494724,2173738,1.2593
401.bzip2,256kB,128kB,4MB,8,4,4,128,539,2416944,1216982,1.1507
401.bzip2,256kB,128kB,4MB,8,4,8,32,1735,5686687,4088180,1.4771
401.bzip2,256kB,128kB,4MB,8,4,8,64,957,3494724,2174815,1.2594
401.bzip2,256kB,128kB,4MB,8,4,8,128,539,2417288,1217533,1.1508
401.bzip2,256kB,128kB,4MB,8,8,1,32,1735,5686687,4086386,1.4769
401.bzip2,256kB,128kB,4MB,8,8,1,64,957,3494724,2173049,1.2593
401.bzip2,256kB,128kB,4MB,8,8,1,128,539,2417383,1216438,1.1507
401.bzip2,256kB,128kB,4MB,8,8,2,32,1735,5686687,4086857,1.4769
401.bzip2,256kB,128kB,4MB,8,8,2,64,957,3494724,2173468,1.2593
401.bzip2,256kB,128kB,4MB,8,8,2,128,539,2417625,1216852,1.1507
401.bzip2,256kB,128kB,4MB,8,8,4,32,1735,5686687,4087253,1.477
401.bzip2,256kB,128kB,4MB,8,8,4,64,957,3494724,2173736,1.2593
401.bzip2,256kB,128kB,4MB,8,8,4,128,539,2416944,1216980,1.1507
401.bzip2,256kB,128kB,4MB,8,8,8,32,1735,5686687,4088180,1.4771
401.bzip2,256kB,128kB,4MB,8,8,8,64,957,3494724,2174815,1.2594
401.bzip2,256kB,128kB,4MB,8,8,8,128,539,2417288,1217533,1.1508
