benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
429.mcf,256kB,32kB,4MB,8,8,1,128,441,6011543,2309310,1.3031
429.mcf,256kB,32kB,4MB,8,8,2,32,1160,11558008,8107370,1.9494
429.mcf,256kB,32kB,4MB,8,8,2,64,693,7907790,4464954,1.5414
429.mcf,256kB,32kB,4MB,8,8,2,128,441,6011543,2264174,1.2986
429.mcf,256kB,32kB,4MB,8,8,4,32,1160,11558008,8179924,1.9567
429.mcf,256kB,32kB,4MB,8,8,4,64,693,7907790,4407162,1.5356
429.mcf,256kB,32kB,4MB,8,8,4,128,441,6011543,2206638,1.2928
429.mcf,256kB,32kB,4MB,8,8,8,32,1160,11558008,8203339,1.959
429.mcf,256kB,32kB,4MB,8,8,8,64,693,7907790,4419956,1.5369
429.mcf,256kB,32kB,4MB,8,8,8,128,441,6011543,2210443,1.2932
