benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
470.lbm,256kB,32kB,4MB,8,1,4,64,607,7154643,7147893,1.8007
470.lbm,256kB,32kB,4MB,8,1,4,128,401,3804428,3797542,1.4254
470.lbm,256kB,32kB,4MB,8,1,8,32,957,13847715,13848541,2.551
470.lbm,256kB,32kB,4MB,8,1,8,64,607,7154643,7147893,1.8007
470.lbm,256kB,32kB,4MB,8,1,8,128,401,3804428,3797542,1.4254
470.lbm,256kB,32kB,4MB,8,2,1,32,912,13847715,13848558,2.551
470.lbm,256kB,32kB,4MB,8,2,1,64,575,7154643,7149161,1.8008
470.lbm,256kB,32kB,4MB,8,2,1,128,378,3804428,3798858,1.4255
470.lbm,256kB,32kB,4MB,8,2,2,32,912,13847715,13848538,2.551
470.lbm,256kB,32kB,4MB,8,2,2,64,575,7154643,7148100,1.8007
470.lbm,256kB,32kB,4MB,8,2,2,128,378,3804428,3797546,1.4254
470.lbm,256kB,32kB,4MB,8,2,4,32,912,13847715,13848538,2.551
470.lbm,256kB,32kB,4MB,8,2,4,64,575,7154643,7147890,1.8007
470.lbm,256kB,32kB,4MB,8,2,4,128,378,3804428,3797541,1.4254
470.lbm,256kB,32kB,4MB,8,2,8,32,912,13847715,13848538,2.551
470.lbm,256kB,32kB,4MB,8,2,8,64,575,7154643,7147890,1.8007
470.lbm,256kB,32kB,4MB,8,2,8,128,378,3804428,3797541,1.4254
470.lbm,256kB,32kB,4MB,8,4,1,32,899,13847715,13848555,2.551
470.lbm,256kB,32kB,4MB,8,4,1,64,565,7154643,7149161,1.8008
470.lbm,256kB,32kB,4MB,8,4,1,128,367,3804428,3798857,1.4255
470.lbm,256kB,32kB,4MB,8,4,2,32,899,13847715,13848535,2.551
470.lbm,256kB,32kB,4MB,8,4,2,64,565,7154643,7148100,1.8007
470.lbm,256kB,32kB,4MB,8,4,2,128,367,3804428,3797545,1.4254
470.lbm,256kB,32kB,4MB,8,4,4,32,899,13847715,13848535,2.551
470.lbm,256kB,32kB,4MB,8,4,4,64,565,7154643,7147890,1.8007
470.lbm,256kB,32kB,4MB,8,4,4,128,367,3804428,3797540,1.4254
470.lbm,256kB,32kB,4MB,8,4,8,32,899,13847715,13848535,2.551
470.lbm,256kB,32kB,4MB,8,4,8,64,565,7154643,7147890,1.8007
470.lbm,256kB,32kB,4MB,8,4,8,128,367,3804428,3797540,1.4254
470.lbm,256kB,32kB,4MB,8,8,1,32,893,13847715,13848555,2.551
470.lbm,256kB,32kB,4MB,8,8,1,64,561,7154643,7149160,1.8008
470.lbm,256kB,32kB,4MB,8,8,1,128,365,3804428,3798857,1.4255
470.lbm,256kB,32kB,4MB,8,8,2,32,893,13847715,13848535,2.551
470.lbm,256kB,32kB,4MB,8,8,2,64,561,7154643,7148099,1.8007
470.lbm,256kB,32kB,4MB,8,8,2,128,365,3804428,3797545,1.4254
470.lbm,256kB,32kB,4MB,8,8,4,32,893,13847715,13848535,2.551
470.lbm,256kB,32kB,4MB,8,8,4,64,561,7154643,7147889,1.8007
470.lbm,256kB,32kB,4MB,8,8,4,128,365,3804428,3797540,1.4254
470.lbm,256kB,32kB,4MB,8,8,8,32,893,13847715,13848535,2.551
470.lbm,256kB,32kB,4MB,8,8,8,64,561,7154643,7147889,1.8007
470.lbm,256kB,32kB,4MB,8,8,8,128,365,3804428,3797540,1.4254
